"A nemico che fugge ponti d'oro.","strategia;nemici"
"A nissuno puzza la sua coreggia.","percezione;autoinganno"
"A ogni giorno la sua fatica.","diligenza;realtà"
"A ogni uccello suo nido è bello.","prospettiva;apprezzamento"
"A padre avaro figliuol prodigo.","famiglia;carattere"
"A pagare e a morire c'è sempre tempo.","responsabilità;inevitabilità"
"A pancia piena si ragiona meglio.","soddisfazione;ragione"
"A paragone del molto che ignoriamo, è meno di niente quanto noi sappiamo.","conoscenza;umiltà"
"A pazzo relatore, savio ascoltatore.","ascolto;saggezza"
"A pensar male si fa peccato, ma quasi sempre si indovina.","sospetto;realismo"
"A pentola che bolle, gatta non s'accosta.","pericolo;avvertimento"
"A quel che si vede metà si crede, a quel che si sente si crede niente.","scetticismo;esperienza"
"A rubar poco si va in galera, a rubar tanto si fa carriera.","corruzione;ingiustizia"
"A san Lorenzo il dente la noce già sente.","stagione;raccolto"
"A san Martino, apri la botte e assaggia il vino.","tradizioni;stagione"
"A san Mattia la neve va via.","stagione;tempo"
"A scherzar con la fiamma, ci si scotta.","pericolo;avvertimento"
"A tal fortezza, tal trincea.","forza;difesa"
"A tavola non si invecchia.","cibo;socialità"
"A torto si lagna del mare chi due volte ci vuole tornare.","esperienza;scelta"
"A tutto c'è rimedio fuorché alla morte.","ottimismo;limitazioni"
"A usanza nuova non correre.","cautela;tradizioni"
"A' voli alti e repentini, sogliono i precipizi esser vicini.","ambizione;pericolo"
"Abate cupido, per un'offerta ne perde cento.","avidità;perdita"
"Abate rigoroso rende i frati penitenti.","severità;influenza"
"Abbattuto l'albero scompare l'ombra.","conseguenze;perdita"
"Abbi piuttosto il piccolo per amico, che il grande per nemico.","amicizia;strategia"
"Abbondanza genera baldanza.","eccesso;confidenza"
"Abiti stranieri, costumi stranieri; costumi stranieri, gente straniera; la gente straniera sloggia gli antichi abitanti.","cultura;identità"
"Abito troppo portato e donna troppo vista vengono presto a noia.","noia;frequenza"
"Accade in un'ora quel che non avviene in mille anni.","imprevedibilità;tempo"
"Accasa il figlio quando vuoi, e la figlia quando puoi.","famiglia;matrimonio"
"Accendere una candela ai Santi e una al diavolo.","compromesso;dualità"
"Accendere una fiaccola per far lume al sole.","inutilità;esagerazione"
"Accetta mille consigli, ma il tuo portalo avanti.","consiglio;autonomia"
"Acqua cheta rompe i ponti.","pazienza;forza"
"Acqua di san Lorenzo venuta per tempo; se alla Madonna viene va ancora bene; tardiva sempre buona quando arriva.","previsioni;stagione"
"Acqua e chiacchiere non fanno frittelle.","parole;azioni"
"Acqua lontana non spegne il fuoco.","prossimità;utilità"
"Acqua passata non macina più.","passato;irreversibilità"
"Acquista buona fama e mettiti a dormire.","reputazione;sicurezza"
"Ad albero vecchio ed a muro cadente, non manca mai edera.","debolezza;opportunismo"
"Ad ogni primavera segue un autunno.","ciclicità;stagione"
"Ad ogni uccello il suo nido è bello.","prospettiva;apprezzamento"
"Ad ognuno la sua croce.","difficoltà;accettazione"
"Ad un grasso mezzogiorno spesso tien dietro una cena magra.","equilibrio;contrasto"
"Agosto ci matura il grano e il mosto.","stagione;raccolto"
"Agosto: moglie mia non ti conosco.","caldo;relazioni"
"Ai bugiardi e agli spacconi non è creduto.","fiducia;onestà"
"Ai macelli van più bovi che vitelli.","sacrificio;esperienza"
"Ai pazzi ed ai fanciulli, non si deve prometter nulla.","promesse;responsabilità"
"Ai pazzi si dà sempre ragione.","comprensione;compromesso"
"Aiutati che Dio ti aiuta.","autonomia;fede"
"Al baciarsi presto tien dietro il coricarsi.","amore;intimità"
"Al bisogno si conosce l'amico.","amicizia;bisogno"
"Al buio tutti i gatti sono bigi.","apparenza;verità"
"Al can vecchio non dir mai va' a cuccia.","esperienza;rispetto"
"Al cazzo non si comanda.","desiderio;impulso"
"Al confessor, medico e avvocato, non tenere il ver celato.","verità;confidenza"
"Al contadino non far sapere quanto è buono il formaggio con le pere.","segreto;conoscenza"
"Al culo non si comanda.","desiderio;impulso"
"Al cuor non si comanda.","amore;emozioni"
"Al debole il forte sovente fa torto.","giustizia;potere"
"Al destino non si comanda.","destino;inevitabilità"
"Al fratello piace più veder la sorella ricca, che farla tale.","famiglia;egoismo"
"Al gatto che lecca lo spiedo non affidar arrosto.","fiducia;prudenza"
"Al genio non si danno le ali, ma le si tagliano.","talento;limitazioni"
"Al levar le tende si conosce il guadagno.","risultato;fine"
"Al medico, al confessore e all'avvocato, bisogna dire ogni peccato.","verità;confidenza"
"Al nemico che fugge ponti d'oro.","strategia;conflitto"
"Al povero manca il pane, al ricco l'appetito.","ricchezza;povertà"
"Al primo colpo non cade l'albero.","perseveranza;resistenza"
"Al suono si riconosce la pignata.","verità;apparenza"
"Al tempo non si comanda.","tempo;inevitabilità"
"Al villano, se gli porgi il dito, si prende la mano.","abuso;fiducia"
"All'eco spetta l'ultima parola.","risposta;eco"
"All'orsa paion belli i suoi orsacchiotti.","amore;genitori"
"All'uccello ingordo crepa il gozzo.","avvertimento;moderazione"
"All'ultimo si contano le pecore.","fine;valutazione"
"All'umiltà felicità, all'orgoglio calamità.","umiltà;orgoglio"
"Alla candelora dall'inverno semo fora, ma se piove o tira vento, dell'inverno semo dentro.","stagione;previsioni"
"Alla fame è presto ridotto chi s'imbarca senza biscotto.","preparazione;prudenza"
"Alla fine anche le pernici allo spiedo vengono a noia.","noia;sazietà"
"Alla fine loda la vita e alla sera loda il giorno.","valutazione;tempo"
"Alla guerra si va pieno di denari e si torna pieni di vizi e di pidocchi.","guerra;conseguenze"
"Alle barbe dei pazzi, il barbiere impara a radere.","esperienza;apprendimento"
"Alle volte si crede di trovare il sole d'agosto e si trova la luna di marzo.","aspettative;delusione"
"Altezza è mezza bellezza.","apparenza;valutazione"
"Altri tempi, altri costumi.","tempo;cambiamento"
"Alzati presto al mattino se vuoi gabbare il tuo vicino.","diligenza;azione"
"Amare e non essere amato è tempo perso.","amore;delusione"
"Ambasciator non porta pena.","neutralità;messaggio"
"Ambasciatore che tarda notizia buona che porta.","messaggio;ottimismo"
"Amicizia che cessa, non fu mai vera.","amicizia;verità"
"Amico beneficiato, nemico dichiarato.","amicizia;ingratitudine"
"Amico di buon tempo mutasi col vento.","amicizia;instabilità"
"Amico di ventura, molto briga e poco dura.","amicizia;instabilità"
"Amico mio cortese, secondo le entrate, fate le spese.","prudenza;economia"
"Ammogliarsi è un piacere che costa caro.","matrimonio;costo"
"Amor che nasce di malattia, quando si guarisce passa via.","amore;salute"
"Amor di nostra vita ultimo inganno.","amore;illusione"
"Amor nuovo va e viene, amor vecchio si mantiene.","amore;stabilità"
"Amor regge il suo regno senza spada.","amore;pace"
"Amor, dispetto, rabbia e gelosia, sul cuore della donna han signoria.","amore;emozioni"
"Amore con amor si paga.","amore;reciprocità"
"Amore di fratello, amore di coltello.","famiglia;conflitto"
"Amore di parentato, amore interessato.","amore;interesse"
"Amore di villeggiatura poco vale e poco dura.","amore;temporaneo"
"Amore non si compra né si vende.","amore;verità"
"Amore onorato, né vergogna né peccato.","amore;onore"
"Amore scaccia amore.","amore;conflitto"
"Anche fra le spine nascono le rose.","speranza;difficoltà"
"Anche i fanciulli diventano uomini.","crescita;tempo"
"Anche il più verde diventa fieno.","crescita;tempo"
"Anche il sole ha le sue macchie.","imperfezione;verità"
"Anche l'abate fu prima frate.","crescita;esperienza"
"Anche l'ambizione è una fame.","ambizione;desiderio"
"Anche la legna storta dà il fuoco diritto.","imperfezione;utilità"
"Anche la regina Margherita mangia il pollo con le dita.","umiltà;realtà"
"Anche le bestie le ha fatte il Signore.","creazione;diversità"
"Anche le colombe hanno il fiele.","contraddizione;verità"
"Anche le pulci hanno la tosse.","ironia;verità"
"Anche le uova della gallina nera sono bianche; ma staremo a vedere se anche i suoi pulcini sono bianchi.","apparenza;verità"
"Anche nei cenci piange il denaro.","povertà;importanza"
"Anche tra le spine nascono le rose.","speranza;difficoltà"
"Anche un giogo dorato pesa.","ricchezza;peso"
"Anche un pazzo può far quattrini ma ci vuole un savio per conservarlo.","ricchezza;saggezza"
"Andar bestia, e tornar bestia, dice il moro.","ignoranza;insuccesso"
"Andar presto a dormire e alzarsi presto chiude la porta a molte malattie.","salute;abitudini"
"Anno nevoso anno fruttuoso.","stagione;agricoltura"
"Anno nuovo vita nuova.","rinnovamento;tempo"
"Approfitta degli errori degli altri, piuttosto che censurarli.","saggezza;apprendimento"
"Aprile dolce dormire.","stagione;relax"
"Aprile e maggio sono la chiave di tutto l'anno.","stagione;importanza"
"Aprile ogni goccia un barile.","stagione;abbondanza"
"Aprile piovoso, maggio ventoso, anno fruttuoso.","stagione;abbondanza"
"Ara nel mare e nella rena semina, chi crede alle parole della femmina.","fiducia;inganno"
"Arcobaleno porta il sereno.","natura;speranza"
"Aria rossa o piscia o soffia.","clima;previsioni"
"Arrivata la gloria svanisce la memoria.","successo;dimenticanza"
"Asino che ha fame mangia d'ogni strame.","necessità;adattamento"
"Asino di natura chi non sa legger la sua scrittura.","ignoranza;conseguenze"
"Assai bene balla a chi fortuna suona.","fortuna;opportunità"
"Assai digiuna chi mal mangia.","salute;nutrizione"
"Assai domanda chi ben serve e tace.","servizio;discrezione"
"Assalto francese e ritirata spagnola.","strategia;conflitto"
"Attacca l'asino dove vuole il padrone e, se si rompe il collo, suo danno.","obbedienza;conseguenze"
"Attacca la capra alla vigna, quello che ha fatto la mamma fà la figlia.","comportamento;ereditarietà"
"Avanzata inglese, ritirata spagnola.","strategia;conflitto"
"Avuta la grazia, gabbato lo santo.","ingratitudine;beneficio"
"Bacco, tabacco e Venere riducon l'uomo in cenere.","vizio;conseguenze"
"Ballaremo secondo che voi suonerete.","adattamento;dipendenza"
"Bandiera vecchia onor di capitano.","onore;esperienza"
"Basta un matto per casa.","famiglia;follia"
"Batti il ferro finché è caldo.","opportunità;azione"
"Beato chi va per la via di mezzo.","moderazione;equilibrio"
"Bei gatti e grossi letamai mostrano il buon agricoltore.","agricoltura;qualità"
"Bell'ostessa, conto caro.","apparenza;inganno"
"Bella cosa presto è rapita.","bellezza;effimero"
"Bella in vista, dentro è trista.","apparenza;verità"
"Bella vigna poca uva.","apparenza;inganno"
"Bellezza di corpo non è eredità.","bellezza;effimero"
"Bellezza e follia vanno spesso in compagnia.","bellezza;follia"
"Bello in fasce brutto in piazza.","giudizio;tempo"
"Ben sa la botte di qual vino è piena.","verità;esperienza"
"Ben si caccia il diavolo, ma Satana ritorna.","conflitto;perseveranza"
"Bene educato, non mentì mai.","educazione;verità"
"Bene per male è carità, male per bene è crudeltà.","morale;giustizia"
"Bene perduto è conosciuto.","perdita;valore"
"Beni di fortuna passano come la luna.","fortuna;transitorietà"
"Bevi il vino e lascia andar l'acqua al mulino.","vino;piacere"
"Bisogna andare quando il diavolo è alla coda.","tempismo;opportunità"
"Bisogna dire pane al pane e vino al vino.","verità;chiarezza"
"Bisogna fare buon viso a cattivo gioco.","adattamento;resilienza"
"Bisogna fare di necessità virtù.","adattamento;necessità"
"Bisogna fare il pane con la farina che si ha.","adattamento;risorsa"
"Bisogna fare la festa quando cade, e prendere il tempo come viene.","adattamento;opportunità"
"Bisogna mangiare per vivere e non vivere per mangiare.","moderazione;priorità"
"Bisogna prendere gli avvenimenti quando Dio li manda.","accettazione;destino"
"Bocca che tace nessuno l'aiuta.","silenzio;aiuto"
"Bocca chiusa ed occhio aperto non fecero mai male a nessuno.","prudenza;attenzione"
"Botte piccola fa buon vino.","qualità;produzione"
"Brutta di viso, sotto il paradiso.","apparenza;interiorità"
"Brutto in fasce bello in piazza.","giudizio;tempo"
"Buca il marmo fin d'acqua una goccia.","perseveranza;costanza"
"Bue fiacco stampa più forte il piede in terra.","forza;determinazione"
"Bue sciolto lecca per tutto.","libertà;opportunità"
"Bue vecchio, solco diritto.","esperienza;precisione"
"Buon fuoco e buon vino, scaldano il mio camino.","conforto;piacere"
"Buon sangue non mente.","ereditarietà;carattere"
"Buon seme dà buoni frutti.","causa-effetto;qualità"
"Buon tempo e mal tempo non dura tutto il tempo.","temporaneità;cambiamento"
"Buon vino e bravura, poco dura.","vino;effimero"
"Buon vino fa buon sangue.","vino;salute"
"Buon vino, favola lunga.","vino;conversazione"
"Buona fama presto è perduta.","reputazione;fragilità"
"Buona greppia, buona bestia.","nutrizione;qualità"
"Buona guardia giova a molte cose.","prudenza;sicurezza"
"Buona la forza, migliore l'ingegno.","forza;intelligenza"
"Buone parole e pere marce non rompono la testa a nessuno.","parole;innocuità"
"Buono ti mangeranno; severo ti odieranno.","comportamento;conseguenze"
"Burlando si dice il vero.","verità;ironia"
"Cader non può, chi ha la virtù per guida.","virtù;stabilità"
"Cambiano i suonatori ma la musica è sempre quella.","cambiamento;costanza"
"Cambiare e migliorare sono due cose; molto si cambia nel mondo, ma poco si migliora.","cambiamento;qualità"
"Campa cavallo che l'erba cresce.","pazienza;tempo"
"Can che abbaia non morde.","minaccia;realtà"
"Cane affamato non teme bastone.","necessità;coraggio"
"Cane non mangia cane.","solidarietà;conflitto"
"Cane rabbioso, cane furioso.","comportamento;pericolo"
"Capelli lunghi, cervello corto.","apparenza;intelligenza"
"Carta canta e villan dorme.","documentazione;verità"
"Casa mia, casa mia, pur piccina che tu sia mi sembri una badia.","casa;affetto"
"Castiga il buono e si emenderà; castiga il cattivo e peggiorerà.","giustizia;educazione"
"Cattivo cominciamento, fine peggiore.","inizio;risultato"
"Cavalier con quattro palle, il nemico ti è alle spalle.","coraggio;sfida"
"Cavallo da vettura, poco costa e poco dura.","qualità;durata"
"Cavallo vecchio, tardi muta ambiatura.","età;cambiamento"
"Cavolo riscaldato non fu mai buono.","novità;qualità"
"Cent'anni d'ingiustizia non fanno un minuto di giustizia.","giustizia;tempo"
"Cento fiorini in commercio danno pane e carne, e cento fiorini nell'agricoltura appena erbaggi e sale.","economia;valore"
"Cento teste, cento cappelli.","diversità;opinione"
"Certe macchie ben si possono grattare ma non togliere.","difetti;permanenza"
"Cessato il guadagno, cessata l'amicizia.","amicizia;interesse"
"Chi Roma non vede, nulla crede.","esperienza;scetticismo"
"Chi a credenza molte merci spaccia, un presto fallimento si procaccia.","prudenza;gestione"
"Chi a tutti facilmente crede, ingannato si vede.","fiducia;inganno"
"Chi accarezza la mula buscherà calci.","avvertimento;conseguenze"
"Chi accetta l'eredità accetti anche i debiti.","eredità;responsabilità"
"Chi ad altri inganni tesse, poco bene per sé ordisce.","inganno;giustizia"
"Chi alza il piede per ogni paglia, si può rompere facilmente una gamba.","attenzione;prudenza"
"Chi ama me, ama il mio cane.","affetto;accettazione"
"Chi ara terra bagnata, per tre anni l'ha dissipata.","gestione;risorsa"
"Chi arrizza, appicca e ammazza.","giustizia;azione"
"Chi asino nasce, asino muore.","natura;immutabilità"
"Chi balla senza suono, come asino si ritrova.","follia;realtà"
"Chi ben chiude, ben apre.","preparazione;esecuzione"
"Chi ben coltiva il moro, coltiva nel suo campo un gran tesoro.","agricoltura;valore"
"Chi ben comincia è a metà dell'opera.","inizio;successo"
"Chi bene semina, bene raccoglie.","causa-effetto;qualità"
"Chi beve birra campa cent'anni.","birra;salute"
"Chi beve vin, campa cent'anni.","vino;salute"
"Chi biasima il suo prossimo che è morto, dica il vero, dica il falso, ha sempre torto.","critica;giudizio"
"Chi caccia volentieri trova presto la lepre.","passione;successo"
"Chi cade in povertà, perde ogni amico.","povertà;amicizia"
"Chi cava e non mette, le possessioni si disfanno.","gestione;risorsa"
"Chi cavalca o trotta alla china, o non è sua la bestia, o non la stima.","cura;proprietà"
"Chi cento ne fa una ne aspetta.","esperienza;conseguenze"
"Chi cerca ciò che non dovrebbe, trova ciò che non vorrebbe.","curiosità;pericolo"
"Chi cerca lealtà e fedeltà nel mondo, non trova che ipocrisia.","fiducia;delusione"
"Chi cerca trova e chi domanda intende.","perseveranza;conoscenza"
"Chi ciuco si corica ciuco si ritrova.","comportamento;conseguenze"
"Chi coglie acerbo il senno, maturo ha sempre d'ignoranza il frutto.","sapienza;tempo"
"Chi comincia in alto, finisce in basso.","umiltà;aspirazioni"
"Chi compra disprezza e chi ha comprato apprezza.","valore;paradosso"
"Chi compra il superfluo, si prepara a vendere il necessario.","finanze;gestione"
"Chi conserva per l'indomani, conserva per il cane.","procrastinazione;spreco"
"Chi contro Dio getta la pietra, in capo gli torna.","karma;giustizia"
"Chi d'estate secca serpi, nell'inverno mangia anguille.","preparazione;conseguenze"
"Chi d'estate vuole stare al fresco, ci starà anche d'inverno.","scelta;conseguenze"
"Chi da gallina nasce convien che razzoli.","natura;essenza"
"Chi da savio operare vuole, pensi al fine.","saggezza;previsioni"
"Chi dal lotto spera soccorso, mette il pelo come un orso.","gioco d'azzardo;illusione"
"Chi del vino è amico, di se stesso è nemico.","vizio;salute"
"Chi di coltel ferisce, di coltel perisce.","giustizia;vendetta"
"Chi di spada ferisce di spada perisce.","giustizia;conseguenze"
"Chi di speranza vive disperato muore.","aspettative;realtà"
"Chi di spirito e di talenti è pieno domina su quelli che ne hanno meno.","talento;superiorità"
"Chi di una donna brutta s'innamora, lieto con essa invecchia e l'ama ancora.","amore;apprezzamento"
"Chi dice A deve dire anche B.","coerenza;perseveranza"
"Chi dice donna dice danno.","stereotipo;genere"
"Chi dice male, l'indovina quasi sempre.","critica;verità"
"Chi dice quel che vuole sente quel che non vorrebbe.","parole;conseguenze"
"Chi disprezza compra.","paradosso;valore"
"Chi domanda ciò che non dovrebbe, ode quel che non vorrebbe.","curiosità;conseguenze"
"Chi domanda non erra.","curiosità;sapienza"
"Chi dopo la polenta beve acqua, alza la gamba e la polenta scappa.","alimentazione;digestione"
"Chi dorme d'agosto, dorme a suo costo.","stagione;comportamento"
"Chi dorme non piglia pesci.","azione;inerzia"
"Chi dà ghiande non può riavere confetti.","generosità;ricompensa"
"Chi dà per ricevere, non dà nulla.","generosità;interesse"
"Chi fa altrui mestiere, fa la zuppa nel paniere.","abilità;competenza"
"Chi fa come il prete dice, va in Paradiso: ma chi fa come il prete fa, a casa del diavolo se ne va.","ipocrisia;coerenza"
"Chi fa da sé fa per tre.","autonomia;efficacia"
"Chi fa del bene agli ingrati, Dio lo considera per male.","ingratitudine;giustizia"
"Chi fa falla e chi non fa sfarfalla.","azione;inazione"
"Chi fa il male odia la luce.","malvagità;trasparenza"
"Chi fa in fretta fa due volte.","fretta;efficienza"
"Chi fa la legge, deve conservarla.","legge;responsabilità"
"Chi fa le fave senza concime le raccoglie senza baccelli.","preparazione;risultato"
"Chi fa più carezze che non suole, o t'ha gabbato o gabbar ti vuole.","comportamento;intenzioni"
"Chi fa un'ingiustizia, la dimentica; chi la riceve, se ne ricorda.","giustizia;memoria"
"Chi fosse indovino, sarebbe ricco.","destino;sapienza"
"Chi fugge il giudizio, si condanna.","giustizia;responsabilità"
"Chi fugge un matto, ha fatto buona giornata.","pazzia;prudenza"
"Chi getta un seme lo deve coltivare, se vuol vederlo con il tempo germogliare.","pazienza;cura"
"Chi gioca al lotto, in rovina va di botto.","gioco d'azzardo;conseguenze"
"Chi ha avuto il beneficio, se lo dimentica.","ingratitudine;memoria"
"Chi ha bravo cuoco e amici sempre invita, se non ha buona entrata, ha buona uscita.","ospitalità;risorsa"
"Chi ha carro e buoi fa bene i fatti suoi.","risorsa;gestione"
"Chi ha da far con un incostante, tien l'anguilla per la coda.","instabilità;difficoltà"
"Chi ha denti non ha pane e chi ha pane non ha denti.","paradosso;fortuna"
"Chi ha dentro l'amaro non può sputare dolce.","natura;comportamento"
"Chi ha fatto ingiuria ad altri, da altri convien che la sopporti.","giustizia;karma"
"Chi ha fiorini trova cugini.","ricchezza;interesse"
"Chi ha il capo di cera, non vada al sole.","debolezza;precauzione"
"Chi ha imbarcato il diavolo, deve stare in sua compagnia.","scelta;conseguenze"
"Chi ha ingegno lo mostri.","talento;espressione"
"Chi ha per letto la terra, deve coprirsi col cielo.","povertà;adattamento"
"Chi ha più fretta, più tardi finisce.","fretta;efficienza"
"Chi ha polvere spara.","risorsa;azione"
"Chi ha portata la tonaca puzza sempre di frate.","abitudini;reputazione"
"Chi ha prete, o parente in corte, fontana gli risorge.","influenza;aiuto"
"Chi ha quattrini non ha cuore.","ricchezza;generosità"
"Chi ha tempo non aspetti tempo.","tempo;opportunità"
"Chi ha tempo, ha vita.","tempo;vita"
"Chi ha terra, ha guerra.","proprietà;conflitto"
"Chi ha tutto il suo in un loco l'ha nel fuoco.","rischio;gestione"
"Chi ha un mestiere in mano, dappertutto trova pane.","abilità;occupazione"
"Chi il vasto mare intrepido ha solcato, talvolta in piccol rio muore annegato.","esperienza;pericolo"
"Chi in casa tua ti metti, ti caccerà di casa.","ospitalità;relazioni"
"Chi la dura la vince.","perseveranza;successo"
"Chi la fa l'aspetti.","giustizia;conseguenze"
"Chi lascia la via vecchia per la nuova sa quel che lascia ma non sa quel che trova.","cambiamento;incertezza"
"Chi lava il capo a l'asino perde il ranno e 'l sapone.","inutile;azione"
"Chi lavora a capodanno lavora tutto l'anno.","lavoro;profezia"
"Chi lavora con diligenza, prega due volte.","lavoro;dedizione"
"Chi lavora, Dio gli dona.","lavoro;ricompensa"
"Chi mal semina mal raccoglie.","causa-effetto;azione"
"Chi mal vive mal muore.","vita;conseguenze"
"Chi male una volta si marita, ne risente tutta la vita.","matrimonio;conseguenze"
"Chi maltratta le bestie, non la fa mai bene.","trattamento animale;giustizia"
"Chi mangia salato cade sempre malato.","abitudini;salute"
"Chi mangia sempre pan bianco, spesso desidera il nero.","abitudini;desiderio"
"Chi mangia sempre torta se ne sazia.","abbondanza;sazietà"
"Chi mena per primo mena due volte.","azione;vantaggio"
"Chi mendica non sceglie.","necessità;scelta"
"Chi molto parla, spesso falla.","parole;azione"
"Chi mordere non può, non mostri i denti.","comportamento;forza"
"Chi muore giace e chi vive si dà pace.","vita;morte"
"Chi nasce afflitto muore sconsolato.","natura;destino"
"Chi nasce matto non guarisce mai.","follia;immutabilità"
"Chi nasce tondo non muore quadrato.","natura;immutabilità"
"Chi nasce è bello, chi si sposa è buono e chi muore è santo.","vita;valore"
"Chi non ama le bestie, non ama i cristiani.","amore;compassione"
"Chi non apre la bocca, non le piove dentro.","silenzio;prudenza"
"Chi non beve in compagnia o è un ladro o è una spia.","socialità;comportamento"
"Chi non caccia non prende.","azione;risultato"
"Chi non comincia non finisce.","inizio;conclusione"
"Chi non crede di esser matto, è matto davvero.","follia;percezione"
"Chi non crede in Dio, crede nel diavolo.","fede;dualità"
"Chi non dà a Cristo, dà al fisco.","fede;tasse"
"Chi non fu buon soldato, non sarà buon capitano.","esperienza;leadership"
"Chi non ha fede, non ne può dare.","fede;condivisione"
"Chi non ha il gatto mantiene i topi e chi ce l'ha li mantiene tutti e due.","scelta;conseguenze"
"Chi non ha imparato a ubbidire, non saprà mai comandare.","ubbidienza;leadership"
"Chi non ha quattrini, non abbia voglie.","finanze;desiderio"
"Chi non ha sdegno, non ha ingegno.","emozioni;intelligenza"
"Chi non ha testa abbia gambe.","intelligenza;alternativa"
"Chi non lavora non mangia.","lavoro;ricompensa"
"Chi non mangia ha già mangiato.","sazietà;appetito"
"Chi non muore si rivede.","incontri;tempo"
"Chi non naufragò in mare, può naufragare in porto.","sicurezza;rischio"
"Chi non può bastonare il cavallo, bastona la sella.","frustrazione;sostituzione"
"Chi non risica non rosica.","rischio;opportunità"
"Chi non sa adulari non sa regnare.","adulazione;potere"
"Chi non sa fare non sa comandare.","competenza;leadership"
"Chi non sa leggere la sua scrittura è asino di natura.","alfabetizzazione;intelligenza"
"Chi non sa niente non è buono a niente.","conoscenza;utilità"
"Chi non sa tacere, non sa parlare.","comunicazione;saggezza"
"Chi non sa ubbidire, non sa comandare.","ubbidienza;leadership"
"Chi non segue il consiglio dei genitori, tardi se ne pente.","consiglio;pentimento"
"Chi non semina non raccoglie.","azione;risultato"
"Chi non si innamora da giovane, si innamora da vecchio.","amore;età"
"Chi non stima altri che sé, è felice quanto un re.","egoismo;felicità"
"Chi non trovò ombra nell'estate, la troverà nell'inverno.","preparazione;conseguenze"
"Chi non vuol stoppa arda, non l'accosti al fuoco.","rischio;precauzione"
"Chi non è con me è contro di me.","lealtà;opposizione"
"Chi non è savio, paziente e forte si lamenti di sé, non della sorte.","saggezza;autocritica"
"Chi non è volpe, dal lupo si guardi, perché ne sarà preda presto o tardi.","intelligenza;protezione"
"Chi parla due lingue è doppio uomo.","lingua;abilità"
"Chi pecca in segreto fa la penitenza pubblica.","colpa;penitenza"
